profile_id,composition_name,combination_size,client_names,evaluation_accuracy,reliability_score,latency_seconds,weights_file
size1_C1,C1,1,"[""client_0""]",0.9863,0.98339499,4.688647625,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size1_C1.pt
size2_C1_C2,C1_C2,2,"[""client_0"", ""client_1""]",0.9878,0.98339499,4.611313583,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size2_C1_C2.pt
size3_C1_C2_C3,C1_C2_C3,3,"[""client_0"", ""client_1"", ""client_2""]",0.9896,0.98339499,4.41583075,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size3_C1_C2_C3.pt
size3_C1_C2_C4,C1_C2_C4,3,"[""client_0"", ""client_1"", ""client_3""]",0.9905,0.983477889,4.166842875,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size3_C1_C2_C4.pt
size3_C1_C2_C5,C1_C2_C5,3,"[""client_0"", ""client_1"", ""client_4""]",0.9899,0.983477889,4.20211975,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size3_C1_C2_C5.pt
size2_C1_C3,C1_C3,2,"[""client_0"", ""client_2""]",0.9887,0.981701752,4.196738875,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size2_C1_C3.pt
size3_C1_C3_C4,C1_C3_C4,3,"[""client_0"", ""client_2"", ""client_3""]",0.9897,0.981701752,4.131392709,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size3_C1_C3_C4.pt
size3_C1_C3_C5,C1_C3_C5,3,"[""client_0"", ""client_2"", ""client_4""]",0.9906,0.983477889,4.312754416,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size3_C1_C3_C5.pt
size2_C1_C4,C1_C4,2,"[""client_0"", ""client_3""]",0.9892,0.980226973,4.571387,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size2_C1_C4.pt
size3_C1_C4_C5,C1_C4_C5,3,"[""client_0"", ""client_3"", ""client_4""]",0.99,0.98339499,4.253048041,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size3_C1_C4_C5.pt
size2_C1_C5,C1_C5,2,"[""client_0"", ""client_4""]",0.9897,0.983477889,4.429107583,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size2_C1_C5.pt
size1_C2,C2,1,"[""client_1""]",0.9843,0.984754082,4.146933667,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size1_C2.pt
size2_C2_C3,C2_C3,2,"[""client_1"", ""client_2""]",0.9883,0.98339499,4.151398542,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size2_C2_C3.pt
size3_C2_C3_C4,C2_C3_C4,3,"[""client_1"", ""client_2"", ""client_3""]",0.9893,0.981701752,4.270036708,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size3_C2_C3_C4.pt
size3_C2_C3_C5,C2_C3_C5,3,"[""client_1"", ""client_2"", ""client_4""]",0.9889,0.983477889,4.161903792,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size3_C2_C3_C5.pt
size2_C2_C4,C2_C4,2,"[""client_1"", ""client_3""]",0.9888,0.981701752,4.214267458,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size2_C2_C4.pt
size3_C2_C4_C5,C2_C4_C5,3,"[""client_1"", ""client_3"", ""client_4""]",0.9896,0.981621711,4.136977375,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size3_C2_C4_C5.pt
size2_C2_C5,C2_C5,2,"[""client_1"", ""client_4""]",0.9882,0.983477889,4.176683416,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size2_C2_C5.pt
size1_C3,C3,1,"[""client_2""]",0.9872,0.974473793,4.291117291,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size1_C3.pt
size2_C3_C4,C3_C4,2,"[""client_2"", ""client_3""]",0.9871,0.974473793,4.155102875,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size2_C3_C4.pt
size3_C3_C4_C5,C3_C4_C5,3,"[""client_2"", ""client_3"", ""client_4""]",0.9897,0.979365402,4.208927333,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size3_C3_C4_C5.pt
size2_C3_C5,C3_C5,2,"[""client_2"", ""client_4""]",0.9886,0.981621711,4.160668417,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size2_C3_C5.pt
size1_C4,C4,1,"[""client_3""]",0.9779,0.978553773,4.134591375,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size1_C4.pt
size2_C4_C5,C4_C5,2,"[""client_3"", ""client_4""]",0.989,0.97957528,4.133012084,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size2_C4_C5.pt
size1_C5,C5,1,"[""client_4""]",0.9868,0.983477889,4.142805167,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size1_C5.pt
